user,song,play_count
4e11f45d732f4861772b2906f81a7d384552ad12,SOCKSGZ12A58A7CA4B,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOCVTLJ12A6310F0FD,1
4e11f45d732f4861772b2906f81a7d384552ad12,SODLLYS12A8C13A96B,3
4e11f45d732f4861772b2906f81a7d384552ad12,SOEGIYH12A6D4FC0E3,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOFRQTD12A81C233C0,2
4e11f45d732f4861772b2906f81a7d384552ad12,SOHEMBB12A6701E907,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOHJOLH12A6310DFE5,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOIZLKI12A6D4F7B61,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOJGSIO12A8C141DBF,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOKEYJQ12A6D4F6132,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOKLRPJ12A8C13C3FE,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOKNWRZ12A8C13BF62,2
4e11f45d732f4861772b2906f81a7d384552ad12,SOKXYUW12A8C140229,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOLAUOW12A8C13A400,3
4e11f45d732f4861772b2906f81a7d384552ad12,SOLLDVS12AB0183835,6
4e11f45d732f4861772b2906f81a7d384552ad12,SOLOZRE12A8C133256,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOLWRZI12A6D4FC4F0,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOMDVSL12A6D4F7230,2
4e11f45d732f4861772b2906f81a7d384552ad12,SOMGIYR12AB0187973,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOMNGMO12A6702187E,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOMRYYN12A6310F0F3,1
4e11f45d732f4861772b2906f81a7d384552ad12,SONDCOR12A8C13BA16,1
4e11f45d732f4861772b2906f81a7d384552ad12,SONQBUB12A6D4F8ED0,3
4e11f45d732f4861772b2906f81a7d384552ad12,SONYKOW12AB01849C9,2
4e11f45d732f4861772b2906f81a7d384552ad12,SOOALOT12A8C13ABD9,5
4e11f45d732f4861772b2906f81a7d384552ad12,SOOKGRB12A8C13CD66,4
4e11f45d732f4861772b2906f81a7d384552ad12,SOOSJIV12AF729E09E,5
4e11f45d732f4861772b2906f81a7d384552ad12,SOOZFCC12A58A7D783,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOPBXPQ12AB01887E2,2
4e11f45d732f4861772b2906f81a7d384552ad12,SOPCTBB12AF72A1B64,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOPJULC12A6D4F667F,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOPQLBY12A6310E992,3
4e11f45d732f4861772b2906f81a7d384552ad12,SOPXLWJ12A8C132639,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOPZVSB12A8C13E2EF,3
4e11f45d732f4861772b2906f81a7d384552ad12,SOQAJHW12AB0186004,2
4e11f45d732f4861772b2906f81a7d384552ad12,SOQFEDG12AB018DD24,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOQGSUC12A8C13B66D,5
4e11f45d732f4861772b2906f81a7d384552ad12,SOQIOXQ12AAF3B2A37,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOQJLWB12A6701E7B3,2
4e11f45d732f4861772b2906f81a7d384552ad12,SOQQQMM12A6310DFCC,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOQTPLM12B0B809575,3
4e11f45d732f4861772b2906f81a7d384552ad12,SOQZBYZ12A6701E7B0,2
4e11f45d732f4861772b2906f81a7d384552ad12,SOQZYQH12A8AE468E5,4
4e11f45d732f4861772b2906f81a7d384552ad12,SORAHAG12AB0182BD0,1
